C1:1
C10:1
C11:1
C12:1
C18:1
C2:1
C22:1
C24:1
C26:1
C27:1
C28:1
C3:1
C33:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
G***:1
H5:1
H6:1
IC1:1
J3:1
J5:1
R10:1
R2:1
R22:1
R25:1
R3:1
R7:1
RN1:1
SW1:1
SW2:1
U1:1
U5:1
U9:1
Y2:1
Y3:1
